town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,transaction_year,transaction_month_num,remaining_lease_years,age_of_flat_at_transaction,price_per_sqm
pasir ris,executive,239,pasir ris st 21,10 to 12,147.0,apartment,1993,75 years 07 months,552888.0,2017,1,75,24,3761.1428571428573
pasir ris,executive,116,pasir ris st 11,01 to 03,155.0,maisonette,1989,71 years,598000.0,2017,1,71,28,3858.064516129032
pasir ris,executive,237,pasir ris st 21,10 to 12,161.0,apartment,1993,75 years 06 months,600000.0,2017,1,75,24,3726.7080745341614
pasir ris,executive,108,pasir ris st 12,10 to 12,146.0,maisonette,1988,70 years 08 months,638000.0,2017,1,70,29,4369.86301369863
pasir ris,executive,531,pasir ris dr 1,04 to 06,165.0,maisonette,1992,74 years 11 months,728000.0,2017,1,74,25,4412.121212121212
pasir ris,executive,644,pasir ris dr 10,01 to 03,143.0,apartment,1995,77 years 08 months,505000.0,2017,2,77,22,3531.4685314685316
pasir ris,executive,267,pasir ris st 21,01 to 03,148.0,apartment,1994,76 years 08 months,505000.0,2017,2,76,23,3412.162162162162
pasir ris,executive,710,pasir ris st 72,04 to 06,146.0,apartment,1996,78 years 04 months,530000.0,2017,2,78,21,3630.1369863013697
pasir ris,executive,203,pasir ris st 21,07 to 09,146.0,apartment,1993,75 years 09 months,542000.0,2017,2,75,24,3712.328767123288
pasir ris,executive,651,pasir ris dr 10,10 to 12,149.0,apartment,1995,77 years 07 months,550000.0,2017,2,77,22,3691.2751677852348
pasir ris,executive,246,pasir ris st 21,10 to 12,148.0,apartment,1993,75 years 05 months,561000.0,2017,2,75,24,3790.5405405405404
pasir ris,executive,456,pasir ris dr 4,07 to 09,149.0,apartment,1992,74 years 10 months,583000.0,2017,2,74,25,3912.751677852349
pasir ris,executive,101,pasir ris st 12,04 to 06,146.0,maisonette,1988,70 years 09 months,588000.0,2017,2,70,29,4027.3972602739727
pasir ris,executive,544,pasir ris st 51,10 to 12,143.0,apartment,1992,74 years 10 months,618000.0,2017,2,74,25,4321.6783216783215
pasir ris,executive,448,pasir ris dr 6,07 to 09,154.0,maisonette,1989,71 years 10 months,658000.0,2017,2,71,28,4272.727272727273
pasir ris,executive,779,pasir ris st 71,13 to 15,144.0,apartment,1996,78 years 06 months,670000.0,2017,2,78,21,4652.777777777777
pasir ris,executive,604,elias rd,07 to 09,150.0,apartment,1995,77 years 01 month,690000.0,2017,2,77,22,4600.0
pasir ris,executive,251,pasir ris st 21,04 to 06,150.0,apartment,1993,75 years 04 months,520000.0,2017,3,75,24,3466.6666666666665
pasir ris,executive,156,pasir ris st 13,01 to 03,147.0,apartment,1995,76 years 11 months,530000.0,2017,3,76,22,3605.4421768707484
pasir ris,executive,219,pasir ris st 21,10 to 12,150.0,apartment,1993,75 years 05 months,532500.0,2017,3,75,24,3550.0
pasir ris,executive,208,pasir ris st 21,01 to 03,149.0,apartment,1993,75 years 06 months,538500.0,2017,3,75,24,3614.0939597315437
pasir ris,executive,220,pasir ris st 21,07 to 09,148.0,apartment,1993,75 years 04 months,545000.0,2017,3,75,24,3682.4324324324325
pasir ris,executive,224,pasir ris st 21,07 to 09,148.0,apartment,1993,75 years 04 months,545000.0,2017,3,75,24,3682.4324324324325
pasir ris,executive,245,pasir ris st 21,13 to 15,148.0,apartment,1993,75 years 05 months,570000.0,2017,3,75,24,3851.3513513513512
pasir ris,executive,456,pasir ris dr 4,10 to 12,142.0,apartment,1992,74 years 09 months,595000.0,2017,3,74,25,4190.140845070423
pasir ris,executive,604,elias rd,04 to 06,154.0,apartment,1995,77 years,600000.0,2017,3,77,22,3896.103896103896
pasir ris,executive,101,pasir ris st 12,04 to 06,146.0,maisonette,1988,70 years 08 months,600000.0,2017,3,70,29,4109.58904109589
pasir ris,executive,651,pasir ris dr 10,10 to 12,146.0,apartment,1995,77 years 06 months,618000.0,2017,3,77,22,4232.876712328767
pasir ris,executive,500,pasir ris st 52,07 to 09,144.0,apartment,1993,75 years 09 months,620000.0,2017,3,75,24,4305.555555555556
pasir ris,executive,607,elias rd,01 to 03,154.0,apartment,1995,77 years 04 months,643000.0,2017,3,77,22,4175.324675324675
pasir ris,executive,646,pasir ris dr 10,13 to 15,145.0,apartment,1995,77 years 06 months,646000.0,2017,3,77,22,4455.172413793103
pasir ris,executive,413,pasir ris dr 6,01 to 03,146.0,maisonette,1989,71 years 08 months,658000.0,2017,3,71,28,4506.8493150684935
pasir ris,executive,778,pasir ris st 71,13 to 15,143.0,apartment,1996,78 years 05 months,668000.0,2017,3,78,21,4671.328671328672
pasir ris,executive,422,pasir ris dr 6,10 to 12,151.0,maisonette,1989,71 years 07 months,690000.0,2017,3,71,28,4569.536423841059
pasir ris,executive,505,pasir ris st 52,13 to 15,146.0,apartment,1993,75 years 06 months,700000.0,2017,3,75,24,4794.520547945205
pasir ris,executive,534,pasir ris dr 1,10 to 12,144.0,apartment,1992,74 years 09 months,710000.0,2017,3,74,25,4930.555555555556
pasir ris,executive,422,pasir ris dr 6,07 to 09,153.0,maisonette,1989,71 years 07 months,722000.0,2017,3,71,28,4718.954248366013
pasir ris,executive,533,pasir ris dr 1,07 to 09,145.0,apartment,1992,74 years 09 months,738000.0,2017,3,74,25,5089.6551724137935
pasir ris,executive,224,pasir ris st 21,01 to 03,148.0,apartment,1993,75 years 03 months,470500.0,2017,4,75,24,3179.054054054054
pasir ris,executive,268,pasir ris st 21,01 to 03,145.0,apartment,1994,76 years 06 months,515000.0,2017,4,76,23,3551.7241379310344
pasir ris,executive,269,pasir ris st 21,04 to 06,144.0,apartment,1994,76 years 06 months,523000.0,2017,4,76,23,3631.9444444444443
pasir ris,executive,246,pasir ris st 21,07 to 09,147.0,apartment,1993,75 years 04 months,540000.0,2017,4,75,24,3673.469387755102
pasir ris,executive,224,pasir ris st 21,07 to 09,149.0,apartment,1993,75 years 03 months,545000.0,2017,4,75,24,3657.718120805369
pasir ris,executive,648,pasir ris dr 10,07 to 09,145.0,apartment,1995,77 years 04 months,553000.0,2017,4,77,22,3813.793103448276
pasir ris,executive,158,pasir ris st 13,04 to 06,149.0,apartment,1995,76 years 10 months,585000.0,2017,4,76,22,3926.1744966442952
pasir ris,executive,504,pasir ris st 52,07 to 09,144.0,apartment,1993,75 years 05 months,618000.0,2017,4,75,24,4291.666666666667
pasir ris,executive,780,pasir ris st 71,04 to 06,143.0,apartment,1996,78 years 04 months,630000.0,2017,4,78,21,4405.5944055944055
pasir ris,executive,782,pasir ris st 71,04 to 06,143.0,apartment,1996,78 years 04 months,636000.0,2017,4,78,21,4447.552447552447
pasir ris,executive,609,elias rd,01 to 03,149.0,apartment,1995,77 years 04 months,640000.0,2017,4,77,22,4295.302013422819
pasir ris,executive,778,pasir ris st 71,07 to 09,143.0,apartment,1996,78 years 04 months,650000.0,2017,4,78,21,4545.454545454545
pasir ris,executive,583,pasir ris st 53,04 to 06,145.0,apartment,1995,77 years 07 months,668000.0,2017,4,77,22,4606.896551724138
pasir ris,executive,454,pasir ris dr 6,04 to 06,146.0,maisonette,1989,71 years 07 months,690000.0,2017,4,71,28,4726.027397260274
pasir ris,executive,408,pasir ris dr 6,04 to 06,145.0,maisonette,1990,72 years,700000.0,2017,4,72,27,4827.586206896552
pasir ris,executive,422,pasir ris dr 6,10 to 12,155.0,maisonette,1989,71 years 06 months,722000.0,2017,4,71,28,4658.064516129032
pasir ris,executive,248,pasir ris st 21,10 to 12,150.0,apartment,1993,75 years 02 months,520000.0,2017,5,75,24,3466.6666666666665
pasir ris,executive,240,pasir ris st 21,10 to 12,146.0,apartment,1993,75 years 02 months,538000.0,2017,5,75,24,3684.931506849315
pasir ris,executive,210,pasir ris st 21,10 to 12,147.0,apartment,1993,75 years 04 months,545000.0,2017,5,75,24,3707.482993197279
pasir ris,executive,241,pasir ris st 21,07 to 09,158.0,apartment,1993,75 years 02 months,555000.0,2017,5,75,24,3512.6582278481014
pasir ris,executive,456,pasir ris dr 4,04 to 06,146.0,apartment,1992,74 years 07 months,560000.0,2017,5,74,25,3835.6164383561645
pasir ris,executive,247,pasir ris st 21,07 to 09,149.0,apartment,1993,75 years 02 months,565000.0,2017,5,75,24,3791.9463087248323
pasir ris,executive,157,pasir ris st 13,07 to 09,152.0,apartment,1995,76 years 09 months,600000.0,2017,5,76,22,3947.3684210526317
pasir ris,executive,101,pasir ris st 12,10 to 12,146.0,maisonette,1988,70 years 06 months,619000.0,2017,5,70,29,4239.726027397261
pasir ris,executive,204,pasir ris st 21,07 to 09,147.0,apartment,1993,75 years 04 months,620000.0,2017,5,75,24,4217.687074829932
pasir ris,executive,538,pasir ris st 51,10 to 12,144.0,apartment,1992,74 years 07 months,620000.0,2017,5,74,25,4305.555555555556
pasir ris,executive,715,pasir ris st 72,13 to 15,148.0,apartment,1996,78 years 01 month,625000.0,2017,5,78,21,4222.972972972973
pasir ris,executive,422,pasir ris dr 6,10 to 12,151.0,maisonette,1989,71 years 05 months,660000.0,2017,5,71,28,4370.860927152318
pasir ris,executive,604,elias rd,13 to 15,149.0,apartment,1995,76 years 10 months,685000.0,2017,5,76,22,4597.315436241611
pasir ris,executive,534,pasir ris dr 1,07 to 09,146.0,apartment,1992,74 years 07 months,695000.0,2017,5,74,25,4760.273972602739
pasir ris,executive,547,pasir ris st 51,10 to 12,149.0,maisonette,1992,74 years 07 months,700000.0,2017,5,74,25,4697.986577181208
pasir ris,executive,408,pasir ris dr 6,10 to 12,147.0,maisonette,1990,71 years 11 months,740000.0,2017,5,71,27,5034.013605442177
pasir ris,executive,534,pasir ris dr 1,10 to 12,154.0,maisonette,1992,74 years 07 months,765000.0,2017,5,74,25,4967.532467532467
pasir ris,executive,240,pasir ris st 21,01 to 03,146.0,apartment,1993,75 years 01 month,505000.0,2017,6,75,24,3458.904109589041
pasir ris,executive,241,pasir ris st 21,07 to 09,158.0,apartment,1993,75 years 01 month,565000.0,2017,6,75,24,3575.9493670886077
pasir ris,executive,236,pasir ris st 21,10 to 12,148.0,apartment,1993,75 years 01 month,570000.0,2017,6,75,24,3851.3513513513512
pasir ris,executive,223,pasir ris st 21,04 to 06,147.0,apartment,1993,75 years 01 month,590000.0,2017,6,75,24,4013.605442176871
pasir ris,executive,210,pasir ris st 21,10 to 12,148.0,apartment,1993,75 years 03 months,610000.0,2017,6,75,24,4121.621621621622
pasir ris,executive,218,pasir ris st 21,04 to 06,149.0,apartment,1993,75 years 02 months,620000.0,2017,6,75,24,4161.073825503356
pasir ris,executive,508,pasir ris st 52,10 to 12,145.0,apartment,1993,75 years 03 months,630000.0,2017,6,75,24,4344.827586206897
pasir ris,executive,408,pasir ris dr 6,04 to 06,147.0,maisonette,1990,71 years 10 months,645000.0,2017,6,71,27,4387.755102040816
pasir ris,executive,541,pasir ris st 51,10 to 12,144.0,apartment,1992,74 years 06 months,670000.0,2017,6,74,25,4652.777777777777
pasir ris,executive,501,pasir ris st 52,10 to 12,146.0,apartment,1993,75 years 06 months,682000.0,2017,6,75,24,4671.232876712329
pasir ris,executive,578,pasir ris st 53,10 to 12,144.0,apartment,1995,77 years 04 months,708000.0,2017,6,77,22,4916.666666666667
pasir ris,executive,547,pasir ris st 51,10 to 12,147.0,apartment,1992,74 years 06 months,728000.0,2017,6,74,25,4952.380952380952
pasir ris,executive,540,pasir ris st 51,10 to 12,144.0,apartment,1992,74 years 06 months,740000.0,2017,6,74,25,5138.888888888889
pasir ris,executive,236,pasir ris st 21,04 to 06,146.0,apartment,1993,75 years,520000.0,2017,7,75,24,3561.6438356164385
pasir ris,executive,218,pasir ris st 21,07 to 09,147.0,apartment,1993,75 years,535000.0,2017,7,75,24,3639.4557823129253
pasir ris,executive,160,pasir ris st 13,01 to 03,146.0,apartment,1995,76 years 07 months,540000.0,2017,7,76,22,3698.6301369863013
pasir ris,executive,206,pasir ris st 21,01 to 03,148.0,apartment,1993,75 years 02 months,540000.0,2017,7,75,24,3648.6486486486488
pasir ris,executive,136,pasir ris st 11,07 to 09,147.0,apartment,1994,76 years 03 months,580000.0,2017,7,76,23,3945.578231292517
pasir ris,executive,646,pasir ris dr 10,07 to 09,146.0,apartment,1995,77 years 03 months,595000.0,2017,7,77,22,4075.3424657534247
pasir ris,executive,250,pasir ris st 21,13 to 15,149.0,apartment,1993,75 years,595000.0,2017,7,75,24,3993.288590604027
pasir ris,executive,717,pasir ris st 72,04 to 06,146.0,apartment,1996,78 years,600000.0,2017,7,78,21,4109.58904109589
pasir ris,executive,603,elias rd,04 to 06,149.0,maisonette,1995,76 years 08 months,630000.0,2017,7,76,22,4228.187919463087
pasir ris,executive,457,pasir ris dr 4,10 to 12,147.0,apartment,1992,74 years 05 months,635000.0,2017,7,74,25,4319.727891156463
pasir ris,executive,101,pasir ris st 12,10 to 12,146.0,maisonette,1988,70 years 04 months,635000.0,2017,7,70,29,4349.315068493151
pasir ris,executive,235,pasir ris st 21,10 to 12,146.0,apartment,1993,75 years,643880.0,2017,7,75,24,4410.13698630137
pasir ris,executive,116,pasir ris st 11,01 to 03,145.0,maisonette,1989,70 years 06 months,660000.0,2017,7,70,28,4551.724137931034
pasir ris,executive,585,pasir ris st 53,04 to 06,146.0,maisonette,1995,77 years 04 months,668888.0,2017,7,77,22,4581.424657534247
pasir ris,executive,408,pasir ris dr 6,10 to 12,147.0,maisonette,1990,71 years 09 months,778000.0,2017,7,71,27,5292.517006802721
pasir ris,executive,204,pasir ris st 21,01 to 03,147.0,apartment,1993,75 years 01 month,520000.0,2017,8,75,24,3537.4149659863947
pasir ris,executive,206,pasir ris st 21,04 to 06,147.0,apartment,1993,75 years 02 months,550000.0,2017,8,75,24,3741.496598639456
pasir ris,executive,244,pasir ris st 21,07 to 09,148.0,apartment,1993,74 years 11 months,560000.0,2017,8,74,24,3783.7837837837837
pasir ris,executive,239,pasir ris st 21,13 to 15,147.0,apartment,1993,74 years 11 months,575000.0,2017,8,74,24,3911.5646258503402
pasir ris,executive,463,pasir ris st 41,01 to 03,144.0,apartment,1992,74 years 04 months,580000.0,2017,8,74,25,4027.777777777778
pasir ris,executive,601,elias rd,04 to 06,149.0,apartment,1995,76 years 07 months,602888.0,2017,8,76,22,4046.228187919463
pasir ris,executive,454,pasir ris dr 6,01 to 03,154.0,maisonette,1989,71 years 03 months,609999.0,2017,8,71,28,3961.0324675324673
pasir ris,executive,128,pasir ris st 11,04 to 06,146.0,maisonette,1988,70 years 03 months,640000.0,2017,8,70,29,4383.561643835616
pasir ris,executive,537,pasir ris st 51,04 to 06,149.0,maisonette,1992,74 years 04 months,670000.0,2017,8,74,25,4496.644295302013
pasir ris,executive,459,pasir ris dr 4,10 to 12,146.0,apartment,1992,74 years 04 months,678000.0,2017,8,74,25,4643.835616438356
pasir ris,executive,466,pasir ris st 41,04 to 06,156.0,maisonette,1992,74 years 04 months,690000.0,2017,8,74,25,4423.076923076923
pasir ris,executive,586,pasir ris st 53,07 to 09,146.0,apartment,1995,77 years 02 months,768000.0,2017,8,77,22,5260.273972602739
pasir ris,executive,235,pasir ris st 21,04 to 06,146.0,apartment,1993,74 years 10 months,512000.0,2017,9,74,24,3506.849315068493
pasir ris,executive,136,pasir ris st 11,01 to 03,149.0,apartment,1994,76 years 01 month,542000.0,2017,9,76,23,3637.5838926174497
pasir ris,executive,717,pasir ris st 72,04 to 06,148.0,apartment,1996,77 years 09 months,550000.0,2017,9,77,21,3716.2162162162163
pasir ris,executive,205,pasir ris st 21,04 to 06,148.0,apartment,1993,75 years,560000.0,2017,9,75,24,3783.7837837837837
pasir ris,executive,717,pasir ris st 72,07 to 09,148.0,apartment,1996,77 years 09 months,580000.0,2017,9,77,21,3918.9189189189187
pasir ris,executive,645,pasir ris dr 10,10 to 12,149.0,apartment,1995,77 years 01 month,583000.0,2017,9,77,22,3912.751677852349
pasir ris,executive,460,pasir ris dr 4,10 to 12,142.0,apartment,1992,74 years 04 months,621000.0,2017,9,74,25,4373.239436619719
pasir ris,executive,249,pasir ris st 21,10 to 12,150.0,apartment,1993,74 years 10 months,640000.0,2017,9,74,24,4266.666666666667
pasir ris,executive,408,pasir ris dr 6,04 to 06,145.0,maisonette,1990,71 years 07 months,718000.0,2017,9,71,27,4951.724137931034
pasir ris,executive,533,pasir ris dr 1,07 to 09,145.0,apartment,1992,74 years 03 months,750000.0,2017,9,74,25,5172.413793103448
pasir ris,executive,710,pasir ris st 72,01 to 03,145.0,maisonette,1996,77 years 09 months,500000.0,2017,10,77,21,3448.2758620689656
pasir ris,executive,208,pasir ris st 21,10 to 12,148.0,apartment,1993,75 years 02 months,520000.0,2017,10,75,24,3513.5135135135133
pasir ris,executive,210,pasir ris st 21,01 to 03,149.0,apartment,1993,74 years 11 months,525000.0,2017,10,74,24,3523.489932885906
pasir ris,executive,247,pasir ris st 21,10 to 12,147.0,apartment,1993,74 years 09 months,570000.0,2017,10,74,24,3877.5510204081634
pasir ris,executive,250,pasir ris st 21,04 to 06,149.0,apartment,1993,74 years 09 months,570000.0,2017,10,74,24,3825.503355704698
pasir ris,executive,108,pasir ris st 12,04 to 06,146.0,maisonette,1988,69 years 11 months,575000.0,2017,10,69,29,3938.3561643835615
pasir ris,executive,158,pasir ris st 13,04 to 06,152.0,apartment,1995,76 years 04 months,582000.0,2017,10,76,22,3828.9473684210525
pasir ris,executive,712,pasir ris st 72,04 to 06,148.0,apartment,1996,77 years 08 months,585000.0,2017,10,77,21,3952.7027027027025
pasir ris,executive,710,pasir ris st 72,13 to 15,148.0,apartment,1996,77 years 08 months,590000.0,2017,10,77,21,3986.4864864864867
pasir ris,executive,605,elias rd,04 to 06,149.0,apartment,1995,76 years 05 months,630000.0,2017,10,76,22,4228.187919463087
pasir ris,executive,782,pasir ris st 71,01 to 03,143.0,apartment,1996,77 years 10 months,635000.0,2017,10,77,21,4440.55944055944
pasir ris,executive,607,elias rd,01 to 03,149.0,apartment,1995,76 years 09 months,640000.0,2017,10,76,22,4295.302013422819
pasir ris,executive,714,pasir ris st 72,13 to 15,143.0,apartment,1996,77 years 08 months,650000.0,2017,10,77,21,4545.454545454545
pasir ris,executive,608,elias rd,04 to 06,155.0,apartment,1995,76 years 09 months,652000.0,2017,10,76,22,4206.451612903225
pasir ris,executive,502,pasir ris st 52,10 to 12,146.0,apartment,1993,75 years 02 months,658000.0,2017,10,75,24,4506.8493150684935
pasir ris,executive,509,pasir ris st 52,13 to 15,146.0,apartment,1993,74 years 11 months,660000.0,2017,10,74,24,4520.54794520548
pasir ris,executive,582,pasir ris st 53,07 to 09,146.0,apartment,1995,77 years,665000.0,2017,10,77,22,4554.7945205479455
pasir ris,executive,505,pasir ris st 52,07 to 09,145.0,apartment,1993,75 years 01 month,672000.0,2017,10,75,24,4634.482758620689
pasir ris,executive,422,pasir ris dr 6,10 to 12,151.0,maisonette,1989,71 years 01 month,695000.0,2017,10,71,28,4602.649006622517
pasir ris,executive,537,pasir ris st 51,13 to 15,144.0,apartment,1992,74 years 02 months,755000.0,2017,10,74,25,5243.055555555556
pasir ris,executive,532,pasir ris dr 1,07 to 09,144.0,apartment,1992,74 years 02 months,765000.0,2017,10,74,25,5312.5
pasir ris,executive,247,pasir ris st 21,07 to 09,150.0,apartment,1993,74 years 08 months,525000.0,2017,11,74,24,3500.0
pasir ris,executive,716,pasir ris st 72,04 to 06,147.0,apartment,1996,77 years 07 months,540000.0,2017,11,77,21,3673.469387755102
pasir ris,executive,246,pasir ris st 21,01 to 03,148.0,apartment,1993,74 years 08 months,550000.0,2017,11,74,24,3716.2162162162163
pasir ris,executive,248,pasir ris st 21,07 to 09,147.0,apartment,1993,74 years 08 months,550000.0,2017,11,74,24,3741.496598639456
pasir ris,executive,129,pasir ris st 11,07 to 09,151.0,maisonette,1988,70 years 02 months,555000.0,2017,11,70,29,3675.4966887417218
pasir ris,executive,209,pasir ris st 21,10 to 12,148.0,apartment,1993,74 years 10 months,565000.0,2017,11,74,24,3817.5675675675675
pasir ris,executive,101,pasir ris st 12,01 to 03,146.0,maisonette,1988,70 years,575000.0,2017,11,70,29,3938.3561643835615
pasir ris,executive,649,pasir ris dr 10,07 to 09,146.0,apartment,1995,76 years 10 months,577000.0,2017,11,76,22,3952.054794520548
pasir ris,executive,465,pasir ris st 41,04 to 06,146.0,apartment,1992,73 years 11 months,590000.0,2017,11,73,25,4041.095890410959
pasir ris,executive,547,pasir ris st 51,01 to 03,143.0,apartment,1992,73 years 11 months,620000.0,2017,11,73,25,4335.664335664335
pasir ris,executive,101,pasir ris st 12,10 to 12,146.0,maisonette,1988,70 years,638000.0,2017,11,70,29,4369.86301369863
pasir ris,executive,500,pasir ris st 52,04 to 06,144.0,apartment,1993,75 years 01 month,665000.0,2017,11,75,24,4618.055555555556
pasir ris,executive,537,pasir ris st 51,04 to 06,148.0,maisonette,1992,73 years 11 months,755000.0,2017,11,73,25,5101.351351351352
pasir ris,executive,601,elias rd,10 to 12,150.0,apartment,1995,76 years 03 months,680000.0,2017,12,76,22,4533.333333333333
pasir ris,executive,532,pasir ris dr 1,13 to 15,144.0,apartment,1992,74 years,758000.0,2017,12,74,25,5263.888888888889
pasir ris,executive,531,pasir ris dr 1,01 to 03,148.0,maisonette,1992,74 years,690000.0,2017,12,74,25,4662.1621621621625
pasir ris,executive,651,pasir ris dr 10,04 to 06,143.0,apartment,1995,76 years 10 months,530000.0,2017,12,76,22,3706.2937062937062
pasir ris,executive,241,pasir ris st 21,07 to 09,158.0,apartment,1993,74 years 07 months,570000.0,2017,12,74,24,3607.5949367088606
pasir ris,executive,223,pasir ris st 21,04 to 06,149.0,apartment,1993,74 years 07 months,635000.0,2017,12,74,24,4261.744966442953
pasir ris,executive,243,pasir ris st 21,01 to 03,150.0,apartment,1993,74 years 07 months,530000.0,2017,12,74,24,3533.3333333333335
pasir ris,executive,237,pasir ris st 21,13 to 15,146.0,apartment,1993,74 years 07 months,580000.0,2017,12,74,24,3972.6027397260273
pasir ris,executive,509,pasir ris st 52,01 to 03,146.0,apartment,1993,74 years 09 months,602000.0,2017,12,74,24,4123.287671232877
pasir ris,executive,711,pasir ris st 72,01 to 03,149.0,apartment,1996,77 years 06 months,525000.0,2017,12,77,21,3523.489932885906
pasir ris,executive,716,pasir ris st 72,01 to 03,147.0,apartment,1996,77 years 06 months,518000.0,2018,1,77,22,3523.809523809524
pasir ris,executive,506,pasir ris st 52,01 to 03,145.0,apartment,1993,74 years 09 months,520000.0,2018,1,74,25,3586.206896551724
pasir ris,executive,239,pasir ris st 21,10 to 12,146.0,apartment,1993,74 years 07 months,550000.0,2018,1,74,25,3767.123287671233
pasir ris,executive,251,pasir ris st 21,04 to 06,149.0,apartment,1993,74 years 06 months,550000.0,2018,1,74,25,3691.2751677852348
pasir ris,executive,208,pasir ris st 21,01 to 03,147.0,apartment,1993,74 years 09 months,580000.0,2018,1,74,25,3945.578231292517
pasir ris,executive,123,pasir ris st 11,01 to 03,147.0,maisonette,1988,69 years 07 months,590000.0,2018,1,69,30,4013.605442176871
pasir ris,executive,603,elias rd,01 to 03,149.0,maisonette,1995,76 years 02 months,605000.0,2018,1,76,23,4060.4026845637586
pasir ris,executive,500,pasir ris st 52,04 to 06,146.0,apartment,1993,75 years,635000.0,2018,1,75,25,4349.315068493151
pasir ris,executive,605,elias rd,07 to 09,154.0,apartment,1995,76 years 02 months,645000.0,2018,1,76,23,4188.311688311688
pasir ris,executive,424,pasir ris dr 6,01 to 03,153.0,maisonette,1989,70 years 08 months,680000.0,2018,1,70,29,4444.444444444444
pasir ris,executive,448,pasir ris dr 6,04 to 06,146.0,maisonette,1989,70 years 11 months,680000.0,2018,1,70,29,4657.534246575343
pasir ris,executive,651,pasir ris dr 10,04 to 06,148.0,apartment,1995,76 years 07 months,550000.0,2018,2,76,23,3716.2162162162163
pasir ris,executive,235,pasir ris st 21,10 to 12,146.0,apartment,1993,74 years 05 months,575000.0,2018,2,74,25,3938.3561643835615
pasir ris,executive,647,pasir ris dr 10,07 to 09,148.0,apartment,1995,76 years 07 months,580000.0,2018,2,76,23,3918.9189189189187
pasir ris,executive,456,pasir ris dr 4,01 to 03,142.0,apartment,1992,73 years 10 months,585000.0,2018,2,73,26,4119.718309859155
pasir ris,executive,504,pasir ris st 52,04 to 06,145.0,apartment,1993,74 years 07 months,588000.0,2018,2,74,25,4055.1724137931033
pasir ris,executive,251,pasir ris st 21,04 to 06,145.0,apartment,1993,74 years 05 months,605000.0,2018,2,74,25,4172.413793103448
pasir ris,executive,780,pasir ris st 71,07 to 09,143.0,apartment,1996,77 years 06 months,650000.0,2018,2,77,22,4545.454545454545
pasir ris,executive,583,pasir ris st 53,10 to 12,147.0,apartment,1995,76 years 08 months,805000.0,2018,2,76,23,5476.190476190476
pasir ris,executive,408,pasir ris dr 6,10 to 12,147.0,maisonette,1990,71 years 02 months,808000.0,2018,2,71,28,5496.598639455782
pasir ris,executive,465,pasir ris st 41,01 to 03,144.0,apartment,1992,73 years 10 months,500000.0,2018,3,73,26,3472.222222222222
pasir ris,executive,710,pasir ris st 72,04 to 06,148.0,apartment,1996,77 years 03 months,530000.0,2018,3,77,22,3581.0810810810813
pasir ris,executive,712,pasir ris st 72,07 to 09,148.0,apartment,1996,77 years 03 months,540000.0,2018,3,77,22,3648.6486486486488
pasir ris,executive,205,pasir ris st 21,04 to 06,147.0,apartment,1993,74 years 06 months,543000.0,2018,3,74,25,3693.877551020408
pasir ris,executive,238,pasir ris st 21,07 to 09,147.0,apartment,1993,74 years 04 months,550000.0,2018,3,74,25,3741.496598639456
pasir ris,executive,217,pasir ris st 21,10 to 12,147.0,apartment,1993,74 years 04 months,553000.0,2018,3,74,25,3761.904761904762
pasir ris,executive,220,pasir ris st 21,04 to 06,152.0,apartment,1993,74 years 04 months,555000.0,2018,3,74,25,3651.315789473684
pasir ris,executive,240,pasir ris st 21,07 to 09,150.0,apartment,1993,74 years 04 months,558000.0,2018,3,74,25,3720.0
pasir ris,executive,267,pasir ris st 21,04 to 06,144.0,apartment,1994,75 years 07 months,570000.0,2018,3,75,24,3958.3333333333335
pasir ris,executive,153,pasir ris st 13,07 to 09,144.0,apartment,1995,75 years 11 months,575000.0,2018,3,75,23,3993.0555555555557
pasir ris,executive,132,pasir ris st 11,04 to 06,149.0,apartment,1994,75 years 08 months,577000.0,2018,3,75,24,3872.48322147651
pasir ris,executive,101,pasir ris st 12,01 to 03,149.0,maisonette,1988,69 years 08 months,585000.0,2018,3,69,30,3926.1744966442952
pasir ris,executive,219,pasir ris st 21,07 to 09,150.0,apartment,1993,74 years 04 months,585000.0,2018,3,74,25,3900.0
pasir ris,executive,130,pasir ris st 11,04 to 06,149.0,apartment,1994,75 years 01 month,590000.0,2018,3,75,24,3959.731543624161
pasir ris,executive,157,pasir ris st 13,01 to 03,159.0,apartment,1995,75 years 11 months,595000.0,2018,3,75,23,3742.1383647798743
pasir ris,executive,219,pasir ris st 21,07 to 09,148.0,apartment,1993,74 years 04 months,598000.0,2018,3,74,25,4040.5405405405404
pasir ris,executive,221,pasir ris st 21,10 to 12,149.0,apartment,1993,74 years 04 months,600000.0,2018,3,74,25,4026.8456375838928
pasir ris,executive,717,pasir ris st 72,07 to 09,143.0,apartment,1996,77 years 03 months,600000.0,2018,3,77,22,4195.804195804196
pasir ris,executive,642,pasir ris dr 10,10 to 12,145.0,apartment,1995,76 years 06 months,650000.0,2018,3,76,23,4482.758620689655
pasir ris,executive,711,pasir ris st 72,07 to 09,145.0,maisonette,1996,77 years 03 months,650000.0,2018,3,77,22,4482.758620689655
pasir ris,executive,605,elias rd,10 to 12,150.0,apartment,1995,76 years,680000.0,2018,3,76,23,4533.333333333333
pasir ris,executive,510,pasir ris st 52,13 to 15,146.0,apartment,1993,74 years 07 months,700000.0,2018,3,74,25,4794.520547945205
